system:index,area,landcover,grid,.geo
1_1_66_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30712479611044,30.45967041204688]}"
1_1_67_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40414284679535,30.47673840244515]}"
1_1_68_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34126077690698,30.520755851367007]}"
1_1_69_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52721204071972,30.416551278409145]}"
1_1_70_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5119406808897,30.40577149499971]}"
1_1_71_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52451709486736,30.374330460055525]}"
1_1_72_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27478544588213,30.455178835626285]}"
1_1_73_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26310734718858,30.616875586767797]}"
1_1_74_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4939743752073,30.398584972726752]}"
1_1_75_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32688773236107,30.51985753608289]}"
1_1_76_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45894007912663,30.428229377102696]}"
1_1_77_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.25681914019974,30.570163191993583]}"
1_1_78_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40504116207947,30.469551880172194]}"
1_1_79_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27209050002978,30.48212829414987]}"
1_1_80_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2640056624727,30.62765537017723]}"
1_1_81_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36731192014645,30.490213131706945]}"
1_1_82_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36731192014645,30.494704708127543]}"
1_1_83_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24783598735856,30.55219688631119]}"
1_1_84_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49756763634377,30.382415297612603]}"
1_1_85_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24783598735856,30.598909281085408]}"
1_1_86_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2460393567903,30.59441770466481]}"
1_1_87_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.22447978997144,30.613282325631317]}"
1_1_88_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26220903190446,30.559383408584146]}"
1_1_89_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36910855071469,30.49560302341166]}"
1_1_90_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.25412419434738,30.606994118642483]}"
1_1_91_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28197196815509,30.504586176252857]}"
1_1_92_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47061817782019,30.44799231335333]}"
1_1_93_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44097377344424,30.454280520342163]}"
1_1_94_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.19214043974314,30.59351938938069]}"
1_1_95_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40324453151122,30.524349112503486]}"
1_1_96_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38168496469235,30.49829796926402]}"
1_1_97_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50565247390085,30.391398450453796]}"
1_1_98_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21998821355085,30.61418064091544]}"
1_1_99_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28287028343921,30.48122997886575]}"
1_1_100_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34305740747521,30.503687860968736]}"
1_1_101_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30442985025807,30.53692552648116]}"
1_1_102_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41851589134126,30.524349112503486]}"
1_1_103_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37899001884,30.5018912304005]}"
1_1_104_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29365006684864,30.474941771876914]}"
1_1_105_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26490397775682,30.606994118642483]}"
1_1_106_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.33587088520227,30.455178835626285]}"
1_1_107_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.19663201616373,30.601604226937766]}"
1_1_108_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53799182412915,30.382415297612603]}"
1_1_109_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39965127037475,30.485721555286347]}"
1_1_110_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35832876730525,30.489314816422826]}"
1_1_111_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38887148696531,30.529739004208203]}"
1_1_112_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48858448350258,30.397686657442634]}"
1_1_113_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50924573503733,30.400381603294992]}"
1_1_114_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2729888153139,30.488416501138705]}"
1_1_115_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37360012713528,30.502789545684617]}"
1_1_116_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21100506070965,30.582739605971256]}"
1_1_117_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32509110179282,30.541417102901757]}"
1_1_118_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42300746776186,30.53692552648116]}"
1_1_119_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39875295509063,30.466856934319836]}"
1_1_120_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36910855071469,30.508179437389334]}"
1_1_121_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49217774463906,30.412059701988547]}"
1_1_122_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42839735946657,30.51536595966229]}"
1_1_123_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35383719088465,30.530637319492325]}"
1_1_124_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41941420662538,30.51806090551465]}"
1_1_125_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49127942935495,30.388703504601438]}"
1_1_126_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35114224503229,30.502789545684617]}"
1_1_127_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29005680571217,30.500992915116377]}"
1_1_128_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36012539787349,30.474043456592792]}"
1_1_129_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38527822582884,30.456077150910403]}"
1_1_130_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31520963366751,30.527044058355845]}"
1_1_131_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49756763634377,30.395890026874394]}"
1_1_132_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51553394202617,30.416551278409145]}"
1_1_133_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43827882759189,30.492009762275185]}"
1_1_134_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26310734718858,30.5755530836983]}"
1_1_135_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37539675770353,30.49829796926402]}"
1_1_136_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52092383373089,30.375228775339647]}"
1_1_137_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42210915247773,30.54051878761764]}"
1_1_138_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32688773236107,30.46326367318336]}"
1_1_139_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28466691400745,30.470450195456316]}"
1_1_140_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.19214043974314,30.608790749210723]}"
1_1_141_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30532816554219,30.5342305806288]}"
1_1_142_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20022527730022,30.563874985004745]}"
1_1_143_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41402431492067,30.47673840244515]}"
1_1_144_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32329447122459,30.51895922079877]}"
1_1_145_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51014405032144,30.427331061818577]}"
1_1_146_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45534681799016,30.435415899375652]}"
1_1_147_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37270181185116,30.502789545684617]}"
1_1_148_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27119218474566,30.54051878761764]}"
1_1_149_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.19573370087961,30.625858739608994]}"
1_1_150_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30892142667868,30.487518185854587]}"
1_1_151_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35743045202113,30.473145141308674]}"
1_1_152_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24514104150619,30.5710615072777]}"
1_1_153_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37180349656704,30.514467644378172]}"
1_1_154_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20741179957317,30.570163191993583]}"
1_1_155_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4248040983301,30.462365357899237]}"
1_1_156_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4203125219095,30.469551880172194]}"
1_1_157_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24244609565383,30.570163191993583]}"
1_1_158_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49487269049142,30.437212529943892]}"
1_1_159_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53439856299268,30.437212529943892]}"
1_1_160_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45444850270604,30.44170410636449]}"
1_1_161_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40504116207947,30.53512889591292]}"
1_1_162_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5173305725944,30.430026007670936]}"
1_1_163_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21370000656201,30.546806994606474]}"
1_1_164_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4113293690683,30.51895922079877]}"
1_1_165_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32868436292931,30.486619870570465]}"
1_1_166_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26490397775682,30.566569930857103]}"
1_1_167_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4203125219095,30.47943334829751]}"
1_1_168_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27568376116625,30.4650603037516]}"
1_1_169_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21819158298261,30.591722758812452]}"
1_1_170_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39515969395416,30.527044058355845]}"
1_1_171_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29005680571217,30.490213131706945]}"
1_1_172_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18136065633371,30.6123840103472]}"
1_1_173_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23525957338087,30.55758677801591]}"
1_1_174_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28736185985981,30.470450195456316]}"
1_1_175_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.22897136639205,30.620468847904274]}"
1_1_176_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48409290708199,30.4237378006821]}"
1_1_177_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43648219702365,30.509976067957574]}"
1_1_178_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53619519356091,30.436314214659774]}"
1_1_179_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18944549389079,30.581841290687137]}"
1_1_180_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43199062060305,30.474043456592792]}"
1_1_181_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50385584333262,30.371635514203167]}"
1_1_182_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53350024770856,30.374330460055525]}"
1_1_183_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.33497256991814,30.51985753608289]}"
1_1_184_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24783598735856,30.608790749210723]}"
1_1_185_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47960133066138,30.449788943921565]}"
1_1_186_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37629507298765,30.470450195456316]}"
1_1_187_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40324453151122,30.506382806821097]}"
1_1_188_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29095512099629,30.51806090551465]}"
1_1_189_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34754898389582,30.527942373639963]}"
1_1_190_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47061817782019,30.430924322955057]}"
1_1_191_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48319459179787,30.445297367500967]}"
1_1_192_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52900867128795,30.396788342158516]}"
1_1_193_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47960133066138,30.42643274653446]}"
1_1_194_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29095512099629,30.474043456592792]}"
1_1_195_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41671926077302,30.53243395006056]}"
1_1_196_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47510975424079,30.451585574489805]}"
1_1_197_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49756763634377,30.428229377102696]}"
1_1_198_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18675054803842,30.585434551823614]}"
1_1_199_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18495391747018,30.587231182391854]}"
1_1_200_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3879731716812,30.490213131706945]}"
1_1_201_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21819158298261,30.621367163188395]}"
1_1_202_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31970121008811,30.51356932909405]}"
1_1_203_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49936426691201,30.376127090623765]}"
1_1_204_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23346294281264,30.591722758812452]}"
1_1_205_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46253334026312,30.399483288010874]}"
1_1_206_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3933630633859,30.527942373639963]}"
1_1_207_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21908989826673,30.60968906449484]}"
1_1_208_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18136065633371,30.548603625174714]}"
1_1_209_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30173490440572,30.470450195456316]}"
1_1_210_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47241480838844,30.42283948539798]}"
1_1_211_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18495391747018,30.62945200074547]}"
1_1_212_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35114224503229,30.53512889591292]}"
1_1_213_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51553394202617,30.44170410636449]}"
1_1_214_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31251468781515,30.527044058355845]}"
1_1_215_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52361877958324,30.379720351760245]}"
1_1_216_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29275175156452,30.508179437389334]}"
1_1_217_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47331312367255,30.377025405907883]}"
1_1_218_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50026258219613,30.391398450453796]}"
1_1_219_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3646169742941,30.507281122105216]}"
1_1_220_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45804176384252,30.40307654914735]}"
1_1_221_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.42570241361422,30.53602721119704]}"
1_1_222_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23076799696028,30.5755530836983]}"
1_1_223_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43109230531893,30.51806090551465]}"
1_1_224_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49936426691201,30.379720351760245]}"
1_1_225_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52990698657207,30.42463611596622]}"
1_1_226_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48768616821846,30.427331061818577]}"
1_1_227_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.29454838213276,30.468653564888076]}"
